customerID,companyName,contactName,contactTitle,TerritoryID
SAVEA,VogueValley,Jose Pavarotti,Sales Representative,54
SEVES,BeyondBasics,Hari Kumar,Sales Manager,3
SIMOB,EnchantedEmporium,Jytte Petersen,Owner,55
SPECD,SmartStyle,Dominique Perrier,Marketing Manager,47
SPLIR,SparkleSphere,Art Braunschweiger,Sales Manager,56
SUPRD,TreasureTroves,Pascale Cartrain,Accounting Manager,57
THEBI,GrandeurGoods,Liz Nixon,Marketing Manager,40
THECR,FashionFusion,Liu Wong,Marketing Assistant,58
TOMSP,PrimePalace,Karin Josephs,Marketing Manager,59
TORTU,SignatureSelections,Miguel Angel Paolino,Owner,2
TRADH,VividVariety,Anabela Domingues,Sales Representative,12
TRAIH,NobleNotions,Helvetius Nagy,Sales Associate,60
VAFFE,ChicCraze,Palle Ibsen,Sales Manager,61
VICTE,EliteEssence,Mary Saveley,Sales Agent,62
VINET,OpulentOutfits,Paul Henriot,Accounting Manager,63
WANDK,SupremeStock,Rita MÅller,Sales Representative,64
WARTH,WonderWorld,Pirkko Koskitalo,Accounting Manager,65
WELLI,GlamourGallery,Paula Parente,Sales Manager,66
WHITC,DazzleDeals,Karl Jablonski,Owner,67
WILMK,StyleSpark,Matti Karttunen,Owner/Marketing Assistant,68
WOLZA,PreciousPicks,Zbyszek Piestrzeniewicz,Owner,69
