customerID,contactName,contactTitle,companyName,city,country
RATTC,Paula Wilson,Assistant Sales Representative,Rattlesnake Canyon Grocery,Albuquerque,USA
REGGC,Maurizio Moroni,Sales Associate,Reggiani Caseifici,Reggio Emilia,Italy
RICAR,Janete Limeira,Assistant Sales Agent,Ricardo Adocicados,Rio de Janeiro,Brazil
RICSU,Michael Holz,Sales Manager,Richter Supermarkt,Genève,Switzerland
ROMEY,Alejandra Camino,Accounting Manager,Romero y tomillo,Madrid,Spain
SANTG,Jonas Bergulfsen,Owner,Santé Gourmet,Stavern,Norway
SAVEA,Jose Pavarotti,Sales Representative,Save-a-lot Markets,Boise,USA
SEVES,Hari Kumar,Sales Manager,Seven Seas Imports,London,UK
SIMOB,Jytte Petersen,Owner,Simons bistro,Kobenhavn,Denmark
SPECD,Dominique Perrier,Marketing Manager,Spécialités du monde,Paris,France
SPLIR,Art Braunschweiger,Sales Manager,Split Rail Beer & Ale,Lander,USA
SUPRD,Pascale Cartrain,Accounting Manager,Suprêmes délices,Charleroi,Belgium
THEBI,Liz Nixon,Marketing Manager,The Big Cheese,Portland,USA
THECR,Liu Wong,Marketing Assistant,The Cracker Box,Butte,USA
TOMSP,Karin Josephs,Marketing Manager,Toms Spezialitäten,Münster,Germany
TORTU,Miguel Angel Paolino,Owner,Tortuga Restaurante,Mexico City,Mexico
TRADH,Anabela Domingues,Sales Representative,Tradição Hipermercados,Sao Paulo,Brazil
TRAIH,Helvetius Nagy,Sales Associate,Trail's Head Gourmet Provisioners,Kirkland,USA
VAFFE,Palle Ibsen,Sales Manager,Vaffeljernet,Århus,Denmark
VICTE,Mary Saveley,Sales Agent,Victuailles en stock,Lyon,France
VINET,Paul Henriot,Accounting Manager,Vins et alcools Chevalier,Reims,France
WANDK,Rita Müller,Sales Representative,Die Wandernde Kuh,Stuttgart,Germany
WARTH,Pirkko Koskitalo,Accounting Manager,Wartian Herkku,Oulu,Finland
WELLI,Paula Parente,Sales Manager,Wellington Importadora,Resende,Brazil
WHITC,Karl Jablonski,Owner,White Clover Markets,Seattle,USA
WILMK,Matti Karttunen,Owner/Marketing Assistant,Wilman Kala,Helsinki,Finland
WOLZA,Zbyszek Piestrzeniewicz,Owner,Wolski  Zajazd,Warszawa,Poland
